SN,identifier,group_name,fiscal_year_id,date,district_id,rural_municipality_id,ward_no,component_id,sub_component_id,group_type_id,,,,,,,,
482,B-3-E-1745,Saraswati bakhara palan samuha,2077/078,2077-06-08,20,Dhanauji ,1,Component A,Livestock,Promotion Program (Goat),,,,,,,,
483,B-3-E-1746,SitaRam bakhara palan samuha,2077/078,2078-01-02,20,Dhanauji ,5,Component A,Livestock,Promotion Program (Goat),,,,,,,,
484,B-3-E-1747,Jamia Masjid Kukhura palan samuha,2077/078,2077-06-21,20,Dhanauji ,3,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
485,B-3-E-1748,Muslim Kukhura palan samuha,2077/078,2077-06-11,20,Dhanauji ,2,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
486,B-3-E-1749,Gurans Kukhura palan samuha,2077/078,2077-06-15,20,Dhanauji ,5,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
487,D-8-X-1751,Bhandari Gaun Krishak Samuha,2077/078,2077-09-12,45,Barpak Sulikot,4,Component A,Crop,Seed Producers,,,,,,,,
488,D-8-X-1752,Hariyali Krishak Samuha (B),2077/078,2077-06-01,45,Barpak Sulikot,7,Component A,Crop,Others,,,,,,,,
489,D-8-X-1753,Indreni Krishak Samuha,2077/078,2077-06-11,45,Barpak Sulikot,3,Component A,Crop,FFS (Crop),,,,,,,,
490,D-8-X-1754,Janajagriti Krishak Samuha,2077/078,2077-09-12,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
491,D-8-X-1755,Kafaldada Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
492,D-8-X-1756,Kulgau Sakriya Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,4,Component A,Crop,Others,,,,,,,,
493,D-8-X-1757,Laliguras Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,4,Component A,Crop,Others,,,,,,,,
494,D-8-X-1758,Majhtar Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
495,D-8-X-1759,Milan Krishak Samuha,2078/079,2077-09-13,45,Barpak Sulikot,4,Component A,Crop,Others,,,,,,,,
496,D-8-X-1760,Nava Durga Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
497,D-8-X-1761,Naya Tole Krishak Samuha,2077/078,2077-06-12,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
498,D-8-X-1762,Paropkar Krishak Samuha,2077/078,2077-05-20,45,Barpak Sulikot,5,Component A,Crop,Others,,,,,,,,
499,D-8-X-1763,Pragatishil Krishak Samuha,2077/078,2077-05-20,45,Barpak Sulikot,5,Component A,Crop,Others,,,,,,,,
500,D-8-X-1766,Sabal Krishak Samuha ,2077/078,2077-09-13,45,Barpak Sulikot,5,Component A,Crop,Others,,,,,,,,
501,D-8-X-1767,Laligurans Krishak Samuha,2077/078,2077-06-14,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
502,D-8-X-1769,Sayapatri Krishak Samuha,2077/078,2077-06-14,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
503,D-8-X-1770,Siran Lakuri Bot Krishak Samuha,2077/078,2077-05-20,45,Barpak Sulikot,5,Component A,Crop,Others,,,,,,,,
504,D-8-X-1771,Siranthar Tinkanya Krishak Samuha,2077/078,2077-06-18,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
505,D-8-X-1772,Tindhara Krishak Samuha,2077/078,2077-09-13,45,Barpak Sulikot,3,Component A,Crop,Others,,,,,,,,
506,D-8-X-1773,Bahakot Krishak Samuha,2077/078,2077-08-26,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
507,D-8-X-1774,Banchowk Krishak Samuha,2077/078,2077-08-18,45,Barpak Sulikot,4,Component A,Crop,Others,,,,,,,,
508,D-8-X-1775,Bhaluswara Krishak Samuha,2077/078,2077-06-14,45,Barpak Sulikot,6,Component A,Crop,FFS (Crop),,,,,,,,
509,D-8-X-1778,Chiptol Bhanjyang Krishak Samuha,2077/078,2077-08-22,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
510,D-8-X-1779,Deurali Mohariya Krishak Samuha,2077/078,2077-06-14,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
511,D-8-X-1780,Dharmawati Krishak Samuha,2077/078,2077-06-14,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
512,D-8-X-1781,Dip Jyoti Krishak Samuha,2077/078,2077-05-22,45,Barpak Sulikot,5,Component A,Crop,Others,,,,,,,,
513,D-8-X-1782,Himchuli Krishak Samuha,2077/078,2077-05-17,45,Barpak Sulikot,7,Component A,Crop,Others,,,,,,,,
514,D-8-X-1783,Jaldevi Saurpani Krishak Samuha,2077/078,2077-08-18,45,Barpak Sulikot,3,Component A,Crop,FFS (Crop),,,,,,,,
515,D-8-X-1784,Kalika Krishak Samuha,2077/078,2077-08-22,45,Barpak Sulikot,8,Component A,Crop,FFS (Crop),,,,,,,,
516,D-8-X-1785,Lama Gaun Krishak Samuha,2077/078,2077-08-22,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
517,D-8-X-1786,Maikot Krishak Samuha,2077/078,2077-08-22,45,Barpak Sulikot,6,Component A,Crop,Others,,,,,,,,
518,D-8-X-1787,Milijuli Kumaltari Krishak Samuha,2077/078,2077-08-22,45,Barpak Sulikot,5,Component A,Crop,Seed Producers,,,,,,,,
519,D-8-X-1789,Sunaulo Krishak Samuha,2077/078,2077-05-17,45,Barpak Sulikot,7,Component A,Crop,FFS (Crop),,,,,,,,
520,D-8-X-1790,Suryadaya Krishak Samuha,2077/078,2077-05-17,45,Barpak Sulikot,8,Component A,Crop,Others,,,,,,,,
521,D-8-W-1791,Aagri Dada Krishak Samuha,2077/078,2077-09-12,45,Gandaki,6,Component A,Crop,Others,,,,,,,,
522,D-8-W-1792,Aayurved Krishak Samuha,2077/078,2077-05-25,45,Gandaki,8,Component A,Crop,Others,,,,,,,,
523,D-8-W-1793,Annapurna Krishak Samuha,2077/078,2077-05-30,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
524,D-8-W-1794,Bhimsen Krishak Samuha,2077/078,2077-06-18,45,Gandaki,4,Component A,Crop,Others,,,,,,,,
525,D-8-W-1795,Buttar Krishak Samuha,2077/078,2077-06-10,45,Gandaki,1,Component A,Crop,FFS (Crop),,,,,,,,
526,D-8-W-1796,Chitradevi Krishak Samuha,2077/078,2077-05-20,45,Gandaki,8,Component A,Crop,Others,,,,,,,,
527,D-8-W-1797,Chumlingtar Krishak Samuha,2077/078,2077-06-17,45,Gandaki,7,Component A,Crop,Others,,,,,,,,
528,D-8-W-1798,Dadabari Krishak Samuha,2077/078,2077-08-22,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
529,D-8-W-1800,Dalbhanjyang Krishak Samuha,2077/078,2077-06-13,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
530,D-8-W-1801,Devi Krishak Samuha,2077/078,2077-06-18,45,Gandaki,4,Component A,Crop,Others,,,,,,,,
531,D-8-W-1802,Jal Kanya Devi Kaudigaun Krishak Samuha,2077/078,2077-06-06,45,Gandaki,4,Component A,Crop,Others,,,,,,,,
532,D-8-W-1804,Jalkanya Devi Sadikhola Krishak Samuha,2077/078,2077-05-30,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
533,D-8-W-1805,Laliguras Mahila Krishak Samuha,2077/078,2077-05-23,45,Gandaki,7,Component A,Crop,Others,,,,,,,,
534,D-8-W-1806,Matribhumi Krishak Samuha,2077/078,2077-05-01,45,Gandaki,8,Component A,Crop,Others,,,,,,,,
535,D-8-W-1808,Milansar Bantar Krishak Samuha,2077/078,2077-09-10,45,Gandaki,6,Component A,Crop,Others,,,,,,,,
536,D-8-W-1809,Mitrata Krishak Samuha,2077/078,2077-06-18,45,Gandaki,3,Component A,Crop,Others,,,,,,,,
537,D-8-W-1810,Pataldevi Krishak Samuha,2077/078,2077-05-21,45,Gandaki,8,Component A,Crop,Others,,,,,,,,
538,D-8-W-1812,Patiswara Krishak Samuha,2077/078,2077-06-01,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
539,D-8-W-1813,Pragatishil Chanamati Krishak Samuha,2077/078,2077-06-09,45,Gandaki,3,Component A,Crop,Others,,,,,,,,
540,D-8-W-1814,Pragatishil Kaudigaun Krishak Samuha,2077/078,2077-06-06,45,Gandaki,4,Component A,Crop,Others,,,,,,,,
541,D-8-W-1816,Radha Krishna Krishak Samuha,2077/078,2077-06-10,45,Gandaki,3,Component A,Crop,Others,,,,,,,,
542,D-8-W-1818,Sagarmatha Krishak Samuha,2077/078,2077-06-10,45,Gandaki,2,Component A,Crop,Others,,,,,,,,
543,D-8-W-1819,Shivalaya Krishak Samuha,2077/078,2077-07-18,45,Gandaki,3,Component A,Crop,FFS (Crop),,,,,,,,
544,D-8-W-1820,Uddhamsil Tarakari Utpadan Krishak Samuha,2077/078,2077-05-12,45,Gandaki,3,Component A,Crop,FFS (Crop),,,,,,,,
545,D-7-S-1821,Akaladevi Krishak Samuha,2077/078,2077-10-17,31, ,Benighat Rorang,4,Component A,Crop,,,,,,,,0
546,D-7-S-1822,Bhairabi Bali Utpadan Krishak Samuha,2077/078,2077-05-31,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
547,D-7-S-1823,Bidang Krishak Samuha,2077/078,2078-01-03,31, ,Benighat Rorang,8,Component A,Crop,,,,,,,,0
548,D-7-S-1824,Bomrang Krishak Samuha,2077/078,2077-11-17,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
549,D-7-S-1825,Chilaune Pani Krishak Samuha,2077/078,2077-11-17,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
550,D-7-S-1826,Chitrakalika Krishak Samuha,2077/078,2078-01-03,31, ,Benighat Rorang,8,Component A,Crop,,,,,,,,0
551,D-7-S-1827,Dunku Dada Krishak Samuha,2077/078,2077-11-16,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
552,D-7-S-1828,Koshrang Krishak Samuha,2077/078,2077-12-21,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,1
553,D-7-S-1829,Hatuwaldada Krishak Samuha,2077/078,2077-10-11,31, ,Benighat Rorang,4,Component A,Crop,,,,,,,,0
554,D-7-S-1830,Jalkanya Krishak Samuha,2077/078,2077-11-15,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
555,D-7-S-1831,Kuwapani Krishak Samuha,2077/078,2077-12-21,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
556,D-7-S-1832,Laliguras Jogidada Krishak Samuha,2077/078,2077-11-15,31, ,Benighat Rorang,2,Component A,Crop,,,,,,,,0
557,D-7-S-1833,Laliguras Tagthali Krishak Samuha,2077/078,2077-11-15,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
558,D-7-S-1834,Machadevi Krishak Samuha,2077/078,2077-11-16,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
559,D-7-S-1835,Makhamali Krishak Samuha,2077/078,2078-01-03,31, ,Benighat Rorang,8,Component A,Crop,,,,,,,,0
560,D-7-S-1836,Manakamana Krishak Samuha,2077/078,2078-01-03,31, ,Benighat Rorang,8,Component A,Crop,,,,,,,,0
561,D-7-S-1837,Mangrang Krishak Samuha,2077/078,2077-12-21,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
562,D-7-S-1838,Mathillo Orbang Tinkanya Krishak Samuha,2077/078,2077-12-28,31, ,Benighat Rorang,3,Component A,Crop,,,,,,,,0
563,D-7-S-1839,Padamchaur Krishak Samuha,2077/078,2077-11-17,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
564,D-7-S-1840,Paribartanshil Krishak Samuha,2077/078,2077-12-21,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
565,D-7-S-1841,Pragatishil Krishak Samuha (B),2077/078,2077-11-15,31, ,Benighat Rorang,2,Component A,Crop,,,,,,,,0
566,D-7-S-1842,Saayung Krishak Samuha,2077/078,2078-01-03,31, ,Benighat Rorang,8,Component A,Crop,,,,,,,,0
567,D-7-S-1843,Sayapatri Krishak Samuha (B),2077/078,2077-11-06,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
568,D-7-S-1844,Shakti Kalika Krishak Samuha,2077/078,2077-11-16,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
569,D-7-S-1845,Shivalaya Krishak Samuha (B),2077/078,2077-11-05,31, ,Benighat Rorang,9,Component A,Crop,,,,,,,,0
570,D-7-S-1846,Shree Dada Krishak Samuha,2077/078,2077-11-15,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
571,D-7-S-1847,Shree Mahakali Krishak Samuha,2077/078,2077-10-26,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
572,D-7-S-1848,Solighopte Maharudra Krishak Samuha,2077/078,2077-11-09,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
573,D-7-S-1849,Tothor Krishak Samuha,2077/078,2077-12-21,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
574,D-7-S-1850,Bhumisthan Krishak Samuha,2077/078,2077-06-02,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
575,D-7-S-1851,Chandi Deurali Krishak Samuha,2077/078,2077-06-07,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
576,D-7-S-1852,Devithan Krishak Samuha,2077/078,2077-06-01,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
577,D-7-S-1853,Fajimtar Krishak Samuha,2077/078,2077-06-14,31, ,Benighat Rorang,9,Component A,Crop,,,,,,,,0
578,D-7-S-1854,Hariyali Mahila Krishak Samuha,2077/078,2077-05-30,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
579,D-7-S-1855,Jaldevi Bali Utpadan Krishak Samuha,2077/078,2077-05-31,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
580,D-7-S-1856,Janagau Battar Krishak Samuha,2077/078,2077-09-08,31, ,Benighat Rorang,5,Component A,Crop,,,,,,,,0
581,D-7-S-1857,Jayapuri Krishak Samuha,2077/078,2077-09-14,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
582,D-7-S-1858,Kalika Krishak Samuha (B),2077/078,2077-06-05,31, ,Benighat Rorang,7,Component A,Crop,,,,,,,,0
583,D-7-S-1859,Khatauti Fajimtar Krishak Samuha,2077/078,2077-06-14,31, ,Benighat Rorang,9,Component A,Crop,,,,,,,,0
584,D-7-S-1860,Mahakali Krishak Samuha,2077/078,2077-06-07,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
585,D-7-S-1861,Milijuli Krishak Samuha,2077/078,2077-06-05,31, ,Benighat Rorang,7,Component A,Crop,,,,,,,,0
586,D-7-S-1862,Panchaling Krishak Samuha,2077/078,2077-06-17,31, ,Benighat Rorang,9,Component A,Crop,,,,,,,,0
587,D-7-S-1863,Sambas Krishak Samuha,2077/078,2077-06-17,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
588,D-7-S-1864,Shiva Shakti Krishak Samuha,2077/078,2077-06-17,31, ,Benighat Rorang,6,Component A,Crop,,,,,,,,0
589,D-7-S-1865,Tara Devi Krishak Samuha,2077/078,2077-06-08,31, ,Benighat Rorang,10,Component A,Crop,,,,,,,,0
590,D-7-S-1866,Jaldevi Krishak Samuha,2077/078,2077-06-22,31, ,Benighat Rorang,7,Component A,Crop,,,,,,,,0
591,D-7-S-1867,Hariyali Dhusatar Krishak Samuha,2077/078,2077-06-22,31, ,Benighat Rorang,7,Component A,Crop,,,,,,,,0
592,D-7-T-1868,Baguti Krishak Samuha,2077/078,2077-09-13,31,Gajuri,6,Component A,Crop,Others,,,,,,,,
593,D-7-T-1869,Bhanjyang Krishak Samuha,2077/078,2077-06-11,31,Gajuri,8,Component A,Crop,Others,,,,,,,,
594,D-7-T-1870,Kafalthumka Krishak samuha,2077/078,2077-09-12,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
595,D-7-T-1871,Laliguras Lamse Krishak Samuha,2077/078,2077-09-12,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
596,D-7-T-1872,Newarbas Krishak Samuha,2077/078,2077-09-13,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
597,D-7-T-1873,Paribartanshil Krishak Samuha (B),2077/078,2077-06-08,31,Gajuri,8,Component A,Crop,Others,,,,,,,,
598,D-7-T-1874,Seti Devi Krishak Samuha,2077/078,2077-06-10,31,Gajuri,8,Component A,Crop,Others,,,,,,,,
599,D-7-T-1875,Sundar Gau Krishak Samuha,2077/078,2077-10-06,31,Gajuri,1,Component A,Crop,Others,,,,,,,,
600,D-7-T-1877,Aapdada Krishak Samuha,2077/078,2077-06-08,31,Gajuri,5,Component A,Crop,Others,,,,,,,,
601,D-7-T-1878,Bagaincha Krishak Samuha,2077/078,2077-08-30,31,Gajuri,7,Component A,Crop,Others,,,,,,,,
602,D-7-T-1879,Bageshwori Krishak Samuha,2077/078,2077-06-01,31,Gajuri,5,Component A,Crop,FFS (Crop),,,,,,,,
603,D-7-T-1880,Balkumari Krishak Samuha,2077/078,2077-06-01,31,Gajuri,5,Component A,Crop,Others,,,,,,,,
604,D-7-T-1881,Bhimsenthan Krishak Samuha,2077/078,2077-06-16,31,Gajuri,3,Component A,Crop,Others,,,,,,,,
605,D-7-T-1882,Bhumithan Krishak Samuha,2077/078,2077-06-21,31,Gajuri,3,Component A,Crop,Others,,,,,,,,
606,D-7-T-1883,Chiurikharka Krishak Samuha (Mathillo),2077/078,2077-06-15,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
607,D-7-T-1884,Chiurikharka Krishak Samuha (Tallo),2077/078,2077-06-17,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
608,D-7-T-1885,Devi Krishiban Krishak Samuha,2077/078,2077-09-07,31,Gajuri,6,Component A,Crop,Others,,,,,,,,
609,D-7-T-1886,Devisthan Krishak Samuha,2077/078,2077-06-09,31,Gajuri,8,Component A,Crop,Others,,,,,,,,
610,D-7-T-1889,Galaudi Khola IPM Krishak Samuha,2077/078,2077-06-04,31,Gajuri,5,Component A,Crop,FFS (Crop),,,,,,,,
611,D-7-T-1890,Jagaran Krishak Samuha,2077/078,2077-06-26,31,Gajuri,7,Component A,Crop,Others,,,,,,,,
612,D-7-T-1891,Jare Bagaicha Krishak Samuha,2077/078,2077-06-19,31,Gajuri,6,Component A,Crop,Others,,,,,,,,
613,D-7-T-1892,Kankalini Mahila Krishak Samuha,2077/078,2077-04-06,31,Gajuri,1,Component A,Crop,FFS (Crop),,,,,,,,
614,D-7-T-1893,Keurani Krishak Samuha,2077/078,2077-09-09,31,Gajuri,1,Component A,Crop,Others,,,,,,,,
615,D-7-T-1894,Koldada Krishak Samuha,2077/078,2077-06-10,31,Gajuri,2,Component A,Crop,Others,,,,,,,,
616,D-7-T-1895,Lamachira Krishak Samuha,2077/078,2077-06-05,31,Gajuri,8,Component A,Crop,Others,,,,,,,,
617,D-7-T-1896,Namuna Krishak Samuha,2077/078,2077-06-10,31,Gajuri,5,Component A,Crop,Others,,,,,,,,
618,D-7-T-1897,Pancha Kanya Krishak Samuha,2077/078,2077-06-04,31,Gajuri,5,Component A,Crop,FFS (Crop),,,,,,,,
619,D-7-T-1898,Pragatishil Krishak Samuha ©,2077/078,2077-09-07,31,Gajuri,3,Component A,Crop,Others,,,,,,,,
620,D-7-T-1899,Rai Gau Krishak Samuha,2077/078,2077-06-01,31,Gajuri,5,Component A,Crop,FFS (Crop),,,,,,,,
621,D-7-T-1900,Rakshing Krishak Samuha,2077/078,2077-06-14,31,Gajuri,3,Component A,Crop,Seed Producers,,,,,,,,
622,D-7-T-1901,Ratmate Krishak Samuha,2077/078,2077-06-12,31,Gajuri,2,Component A,Crop,Others,,,,,,,,
623,D-7-T-1902,Risheshor Krishak Samuha,2077/078,2077-04-06,31,Gajuri,1,Component A,Crop,FFS (Crop),,,,,,,,
624,D-7-T-1903,Sapta Krishi taha pasupalna Krishak Samuha,2077/078,2077-05-27,31,Gajuri,7,Component A,Crop,Others,,,,,,,,
625,D-7-T-1904,Satkanya Krishak Samuha,2077/078,2077-06-20,31,Gajuri,3,Component A,Crop,Others,,,,,,,,
626,D-7-T-1905,Simpani Krishak Samuha,2077/078,2077-06-19,31,Gajuri,6,Component A,Crop,Others,,,,,,,,
627,D-7-T-1906,Tallo Tole Krishak Samuha,2077/078,2077-06-01,31,Gajuri,5,Component A,Crop,Others,,,,,,,,
628,D-7-T-1907,Tarbote Krishak Samuha,2077/078,2077-06-14,31,Gajuri,4,Component A,Crop,Others,,,,,,,,
629,D-7-T-1908,Ujjyalo Krishak Samuha,2077/078,2077-06-08,31,Gajuri,2,Component A,Crop,Others,,,,,,,,
630,D-7-T-1909,Shiva Shakti Krishak Samuha (B),2077/078,2078-06-11,31,Gajuri,2,Component A,Crop,Others,,,,,,,,
631,D-7-T-1910,Milantar Krishak Samuha,2077/078,2078-06-11,31,Gajuri,6,Component A,Crop,Others,,,,,,,,
632,C-5-K-1916,Kyampol Krishi Utpadak Krishak Samuha,2077/078,2077-11-23,25,Kalinchok,1,Component A,Crop,Others,,,,,,,,
633,C-5-K-1917,Laliguransssss Krishi Utpadak Krishak Samuha,2077/078,2077-10-21,25,Kalinchok,2,Component A,Crop,Others,,,,,,,,
634,C-5-K-1918,Laliguransh Chaughara Krishi Utpadak Krishak Samuha,2077/078,2077-06-24,25,Kalinchok,8,Component A,Crop,Others,,,,,,,,
635,C-5-K-1919,Lingethali Krishi Utpadak Krishak Samuha,2077/078,2077-11-10,25,Kalinchok,2,Component A,Crop,Others,,,,,,,,
636,C-5-K-1920,Makhamalli Krishi Utpadak Krishak Samuha,2077/078,2077-06-23,25,Kalinchok,4,Component A,Crop,Others,,,,,,,,
637,C-5-K-1921,Naba Krishi Utpadak Krishak Samuha,2077/078,2077-06-14,25,Kalinchok,8,Component A,Crop,Others,,,,,,,,
638,C-5-K-1922,Naagthaan Krishi Utpadak Krishak Samuha,2077/078,2077-10-23,25,Kalinchok,3,Component A,Crop,Others,,,,,,,,
639,C-5-K-1923,Namuna Sworojgar Krishi Utpadak Krishak Samuha,2077/078,2077-06-28,25,Kalinchok,2,Component A,Crop,Others,,,,,,,,
640,C-5-K-1924,Nikoken Krishi Utpadak Krishak Samuha,2077/078,2077-06-26,25,Kalinchok,6,Component A,Crop,Others,,,,,,,,
641,C-5-K-1925,Paribartansiiil Krishi Utpadak Krishak Samuha,2077/078,2077-10-27,25,Kalinchok,5,Component A,Crop,Others,,,,,,,,
642,C-5-K-1926,Phedi Krishi Utpadak Krishak Samuha,2077/078,2077-09-01,25,Kalinchok,9,Component A,Crop,Others,,,,,,,,
643,C-5-K-1927,Pipalbot Krishi Utpadak Krishak Samuha,2077/078,2077-06-14,25,Kalinchok,8,Component A,Crop,Others,,,,,,,,
644,C-5-K-1928,Pokhare Eakata Krishi Utpadak Krishak Samuha,2077/078,2077-09-06,25,Kalinchok,3,Component A,Crop,Others,,,,,,,,
645,C-5-K-1929,Purba Bihani Krishi Utpadak Krishak Samuha,2077/078,2077-09-09,25,Kalinchok,9,Component A,Crop,Others,,,,,,,,
646,C-5-K-1930,Sakriyaaa Krishi Utpadak Krishak Samuha,2077/078,2077-06-09,25,Kalinchok,5,Component A,Crop,Others,,,,,,,,
647,C-5-K-1931,Sammunnat Krishi Utpadak Krishak Samuha,2077/078,2077-08-30,25,Kalinchok,9,Component A,Crop,Others,,,,,,,,
648,C-5-K-1932,Kalimaibhagwoti Krishi Utpadak Krishak Samuha,2077/078,2077-06-26,25,Kalinchok,6,Component A,Crop,Others,,,,,,,,
649,C-5-K-1933,Lalupateee Krishi Utpadak Krishak Samuha,2077/078,2077-11-03,25,Kalinchok,7,Component A,Crop,Others,,,,,,,,
650,C-5-K-1934,Sudhariyako Krishi Utpadak Krishak Samuha,2077/078,2077-11-12,25,Kalinchok,4,Component A,Crop,Others,,,,,,,,
651,C-5-K-1935,Tokane Krishi Utpadak Krishak Samuha,2077/078,2077-08-27,25,Kalinchok,7,Component A,Crop,Others,,,,,,,,
652,C-5-K-1936,Suryamuhiiii Krishi Utpadak Krishak Samuha,2077/078,2077-06-23,25,Kalinchok,9,Component A,Crop,Seed Producers,,,,,,,,
653,C-5-K-1937,Setideviii Krishi Utpadak Krishak Samuha,2077/078,2077-09-07,25,Kalinchok,7,Component A,Crop,Others,,,,,,,,
654,C-5-K-1938,Udhamsilllta Krishi Utpadak Krishak Samuha,2077/078,2077-08-28,25,Kalinchok,7,Component A,Crop,Others,,,,,,,,
655,C-5-K-1941,Unnaaaat Krishi Utpadak Krishak Samuha,2077/078,2077-06-26,25,Kalinchok,6,Component A,Crop,Others,,,,,,,,
656,C-5-K-1942,Shankhamai Krishi Utpadak Krishak Samuha,2077/078,2077-06-26,25,Kalinchok,2,Component A,Crop,Others,,,,,,,,
657,A-1-B-1943,Shree Bhole Shankhar Bakhra Prabandhan Samuha,2077/078,2077-05-31,22,166,1,Component A,Livestock,Promotion Program (Goat),,,,,,,,
658,A-1-B-1944,Shree Dihibaar Baba Pashupalan Samuha,2077/078,2077-06-04,22,166,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
659,A-1-B-1945,Fulbari Kukhura Prabandhan Samuha,2077/078,2077-06-22,22,166,1,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
660,A-1-B-1946,Maa Sabari Bakhra Prabandhan Samuha,2077/078,2077-06-26,22,166,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
661,A-1-B-1947,Ram Janaki Kukhura Prabandhan Samuha,2077/078,2077-06-26,22,166,4,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
662,A-1-B-1948,Shree Om Ganeshya Dairy Prabandhan Samuha,2077/078,2077-06-30,22,166,1,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
663,A-1-B-1949,Shree Kamdhenu Dairy Prabandhan Samuha,2077/078,2077-06-05,22,166,4,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
664,A-1-B-1950,Shree Krishna Shwaran Pashupalan Samuha,2077/078,2077-06-10,22,166,7,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
665,A-1-B-1951,Shree Rabidas Bakhrapalan Prabandhan Samuha,2077/078,2077-06-23,22,166,7,Component A,Livestock,Promotion Program (Goat),,,,,,,,
666,A-1-B-1952,Shree Dihibaar Baba Bakhrapalan Prabandhan Samuha,2077/078,2077-06-09,22,166,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
667,A-1-B-1953,Maa Kankalni Kukhura Prabandhan Samuha,2077/078,2077-06-09,22,166,7,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
668,A-1-B-1954,Maa Bhagwati Pashupalan Samuha,2077/078,2077-05-30,22,166,6,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
669,A-1-B-1955,Shree Dinabhadri Pashupalan Samuha,2077/078,2077-06-08,22,166,6,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
670,A-1-B-1956,Shree Bishnu Bakhra Prabandhan Samuha,2077/078,1900-01-06,22,166,7,Component A,Livestock,Promotion Program (Goat),,,,,,,,
671,A-1-B-1957,Shree Ganga Jamuna Dinaram Dinabhadri Pashupalan Samuha,2077/078,2077-05-31,22,166,6,Component A,Livestock,Promotion Program (Goat),,,,,,,,
672,A-1-A-1958,Shree Ram Janaki Bakhra Prabandhan Samuha,2077/078,2077-04-23,22,Rajgadh,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
